LegalForm,catottg_region,Region,Name,SexName,AnimalGender,animal
Фізична особа,UA26000000000069363,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,ВРХ,Корова,Самиці,5
Фізична особа,UA26000000000069363,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,ВРХ,Телиця,Самиці,2
Фізична особа,UA44000000000018893,ЛУГАНСЬКА ОБЛАСТЬ,ВРХ,Корова,Самиці,2
Фізична особа,UA44000000000018893,ЛУГАНСЬКА ОБЛАСТЬ,ВРХ,Телиця,Самиці,3
Фізична особа,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,ВРХ,"Бугаєць,бугай",Самці,1
Фізична особа,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,ВРХ,Корова,Самиці,7
Фізична особа,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,ВРХ,Телиця,Самиці,6
Фізична особа,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,ВРХ,Телиця,Самиці,1
Фізична особа,UA56000000000066151,РІВНЕНСЬКА ОБЛАСТЬ,ВРХ,Корова,Самиці,2
Фізична особа,UA56000000000066151,РІВНЕНСЬКА ОБЛАСТЬ,ВРХ,Телиця,Самиці,2
Фізична особа,,Не визначено,Вівці,Вівцематка,Самиці,10
Фізична особа,,Не визначено,ВРХ,"Бугаєць,бугай",Самці,5
Фізична особа,,Не визначено,ВРХ,Корова,Самиці,26
Фізична особа,,Не визначено,ВРХ,Телиця,Самиці,4
Фізична особа,,Не визначено,Кози,Коза,Самиці,10
Фізична особа,,Не визначено,Кози,"Цапи, козлики",Самці,1
Фізична особа,,Не визначено,Коні,Жеребець,Самці,1
Фізична особа,,Не визначено,Коні,Кобила,Самиці,1
ФОП,UA05000000000010236,ВІННИЦЬКА ОБЛАСТЬ,ВРХ,Корова,Самиці,1
ФОП,UA05000000000010236,ВІННИЦЬКА ОБЛАСТЬ,ВРХ,Телиця,Самиці,2
ФОП,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,ВРХ,Корова,Самиці,64
ФОП,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,ВРХ,Телиця,Самиці,50
ФОП,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Кози,Коза,Самиці,18
ФОП,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Кози,"Цапи, козлики",Самці,2
ФОП,UA26000000000069363,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,ВРХ,Корова,Самиці,9
ФОП,UA26000000000069363,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,ВРХ,Телиця,Самиці,1
ФОП,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,Вівці,Вівцематка,Самиці,1
ФОП,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,Вівці,Ярка,Самиці,3
ФОП,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,ВРХ,Корова,Самиці,1
ФОП,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Вівці,"Барани, баранчики",Самці,54
ФОП,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Вівці,Вівцематка,Самиці,82
ФОП,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Вівці,Ярка,Самиці,174
ФОП,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,ВРХ,"Бугаєць,бугай",Самці,32
ФОП,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,ВРХ,Корова,Самиці,77
ФОП,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,ВРХ,Телиця,Самиці,64
ФОП,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Кози,Коза,Самиці,345
ФОП,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Кози,"Цапи, козлики",Самці,26
ФОП,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,ВРХ,Корова,Самиці,10
ФОП,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,ВРХ,Телиця,Самиці,12
ФОП,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,ВРХ,Корова,Самиці,2
ФОП,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,ВРХ,Телиця,Самиці,1
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,Кози,Коза,Самиці,1
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,Кози,"Цапи, козлики",Самці,1
ФОП,UA56000000000066151,РІВНЕНСЬКА ОБЛАСТЬ,ВРХ,Корова,Самиці,7
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,ВРХ,"Бугаєць,бугай",Самці,13
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,ВРХ,Корова,Самиці,121
