LegalForm,catottg_region,Region,catottg_district,District,catottg_community,Community,PropRight,Purpose,Area,Subject
Фізична особа,UA05000000000010236,ВІННИЦЬКА ОБЛАСТЬ,UA05020000000026686,ВІННИЦЬКИЙ РАЙОН,UA05020190000015755,ОРАТІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,3.6231,1
Фізична особа,UA05000000000010236,ВІННИЦЬКА ОБЛАСТЬ,UA05040000000050292,ГАЙСИНСЬКИЙ РАЙОН,UA05040090000093950,КРАСНОПІЛЬСЬКА  ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,32.3242,12
Фізична особа,UA05000000000010236,ВІННИЦЬКА ОБЛАСТЬ,UA05120000000017020,ХМІЛЬНИЦЬКИЙ РАЙОН,UA05120030000061384,ЖДАНІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,3.098,1
Фізична особа,UA05000000000010236,ВІННИЦЬКА ОБЛАСТЬ,UA05040000000050292,ГАЙСИНСЬКИЙ РАЙОН,UA05040090000093950,КРАСНОПІЛЬСЬКА  ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,5.7,4
Фізична особа,UA05000000000010236,ВІННИЦЬКА ОБЛАСТЬ,UA05120000000017020,ХМІЛЬНИЦЬКИЙ РАЙОН,UA05120030000061384,ЖДАНІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,0.2611,1
Фізична особа,UA05000000000010236,ВІННИЦЬКА ОБЛАСТЬ,UA05120000000017020,ХМІЛЬНИЦЬКИЙ РАЙОН,UA05120030000061384,ЖДАНІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.25,1
Фізична особа,UA05000000000010236,ВІННИЦЬКА ОБЛАСТЬ,UA05040000000050292,ГАЙСИНСЬКИЙ РАЙОН,UA05040090000093950,КРАСНОПІЛЬСЬКА  ТЕРИТОРІАЛЬНА ГРОМАДА,Користування для с/г потреб (емфітевзис),01.01 Для ведення товарного сільськогосподарського виробництва,3.9330999999999996,2
Фізична особа,UA05000000000010236,ВІННИЦЬКА ОБЛАСТЬ,UA05040000000050292,ГАЙСИНСЬКИЙ РАЙОН,UA05040090000093950,КРАСНОПІЛЬСЬКА  ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.01 Для ведення товарного сільськогосподарського виробництва,169.47869999999998,24
Фізична особа,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,UA07020000000048211,ВОЛОДИМИР-ВОЛИНСЬКИЙ РАЙОН,UA07020030000052032,ЗАТУРЦІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,3.3514000000000004,4
Фізична особа,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,UA07020000000048211,ВОЛОДИМИР-ВОЛИНСЬКИЙ РАЙОН,UA07020050000082369,ЗИМНІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,5.4784,7
