CreateAt,LegalForm,Region,TypeProgram,NameProgram,organization,TotalAmount,DesiredAmount,ProvidedAmount,LandParcelCount,AnimalCount
2022-07-22,Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Надання грантів в рамках міжнародної фінансової допомоги,"Підтримка виробників сільськогосподарської продукції за напрямом ""за утримання корів усіх напрямів продуктивності"" до 2796 врх",Укрдержфонд,1750000000,1571500,0,1675,6975
2022-07-22,Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Надання грантів в рамках міжнародної фінансової допомоги,"Підтримка виробників сільськогосподарської продукції за напрямом ""на один гектар земель сільськогосподарського призначення""",Укрдержфонд,1750000000,460000,0,335,1395
2022-07-25,ФОП,СУМСЬКА ОБЛАСТЬ,Надання грантів в рамках міжнародної фінансової допомоги,"Підтримка виробників сільськогосподарської продукції за напрямом ""утримання корів усіх напрямів продуктивності"" (до 500 голів)",Укрдержфонд,1750000000,520000,245000,704,206
2022-07-25,Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Надання грантів в рамках міжнародної фінансової допомоги,"Підтримка виробників сільськогосподарської продукції за напрямом ""на один гектар земель сільськогосподарського призначення""",Укрдержфонд,1750000000,490000,64500,670,2790
2022-07-26,ФОП,СУМСЬКА ОБЛАСТЬ,Надання грантів в рамках міжнародної фінансової допомоги,"Підтримка виробників сільськогосподарської продукції за напрямом ""утримання корів усіх напрямів продуктивності"" (до 500 голів)",Укрдержфонд,1750000000,50000,0,704,206
2022-07-26,Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Надання грантів в рамках міжнародної фінансової допомоги,"Підтримка виробників сільськогосподарської продукції за напрямом ""на один гектар земель сільськогосподарського призначення""",Укрдержфонд,1750000000,1036000,18000,680,2790
2022-07-28,Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Надання грантів в рамках міжнародної фінансової допомоги,"Підтримка виробників сільськогосподарської продукції за напрямом ""на один гектар земель сільськогосподарського призначення""",Укрдержфонд,1750000000,725000,43400,20,0
2022-07-29,Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Надання грантів в рамках міжнародної фінансової допомоги,"Підтримка виробників сільськогосподарської продукції за напрямом ""на один гектар земель сільськогосподарського призначення""",Укрдержфонд,1750000000,43431,43431,10,0
2022-07-31,Юридична особа,ВІННИЦЬКА ОБЛАСТЬ,Часткова компенсація витрат на придбання різного роду матеріально-технічних ресурсів та послуг,Дотації на виробництво соняшника та бур'янів (Копія 1),WB Test Group,1000,1000,1000.0,0,0
2022-08-02,ФОП,ЛЬВІВСЬКА ОБЛАСТЬ,Надання грантів в рамках міжнародної фінансової допомоги,Бюджетна субсидія на утримання корів усіх напрямів продуктивності (до 500 голів),Укрдержфонд,1545500000,560000,459999.54,1,790
2022-08-02,Юридична особа,ВІННИЦЬКА ОБЛАСТЬ,Надання грантів в рамках міжнародної фінансової допомоги,Бюджетна субсидія на одиницю оброблюваних угідь (1га),Укрдержфонд,1545500000,500000,87000.5,0,0
2022-08-03,Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Надання грантів в рамках міжнародної фінансової допомоги,Спеціальна бюджетна дотація за утримання великої рогатої худоби (корів),Укрдержфонд,1545500000,560000,26658.99,1,5
2022-08-23,Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 22.08.22] Бюджетна субсидія на одиницю оброблюваних угідь (1 га),Укрдержфонд,1545500000,45000,0,1,5
2022-08-23,Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,новий реєстр 1 га,Укрдержфонд,1545500000,2342342,0,1,5
2022-08-23,Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,новий реєстр корови,Укрдержфонд,1545500000,42423,0,1,5
2022-08-23,ФОП,ПОЛТАВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 22.08.22] [без групи] Бюджетна субсидія на одиницю оброблюваних угідь (1 га),Укрдержфонд,1545500000,657657,0,72,0
2022-08-23,Юридична особа,ОДЕСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 22.08.22] [20-1000 га] Бюджетна субсидія на одиницю оброблюваних угідь (1 га),Укрдержфонд,1545500000,334343,0,122,0
2022-08-23,Юридична особа,ОДЕСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,новий реєстр 1 га,Укрдержфонд,1545500000,342343,0,122,0
2022-08-25,Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[50% на другий] [до 1200га] Бюджетна субсидія на одиницю оброблюваних угідь (1 га),Укрдержфонд,1545500000,840000,0,3,15
2022-08-25,Юридична особа,ВІННИЦЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[50% на другий] [до 1200га] Бюджетна субсидія на одиницю оброблюваних угідь (1 га),Укрдержфонд,1545500000,230000,0,0,0
2022-08-25,Юридична особа,ОДЕСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[50% на другий] [до 1200га] Бюджетна субсидія на одиницю оброблюваних угідь (1 га),Укрдержфонд,1545500000,710000,0,366,0
2022-08-25,Юридична особа,ОДЕСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,test steps v2.1 (Копія 1),Укрдержфонд,1545500000,345345.5,6500.5,122,0
2022-08-26,Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 26.08 \ без групи \ від 2 до 5000] Бюджетна дотація за утримання корів,Укрдержфонд,1545500000,78000,0,1,5
2022-08-26,Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 26.08] Бюджетна субсидія на одиницю оброблюваних угідь (1 га),Укрдержфонд,1545500000,87800.6,0,1,5
2022-08-26,Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 26.08 \ без групи \ від 2 до 5000] Бюджетна дотація за утримання корів,Укрдержфонд,1545500000,56999,0,335,1395
2022-08-26,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,test steps v3.1,Укрдержфонд,1545500000,67060.89,5640.66,120,97
2022-08-26,Юридична особа,ОДЕСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 26.08 \ без групи \ до 1200] Бюджетна субсидія на одиницю оброблюваних угідь (1 га),Укрдержфонд,1545500000,345000.5,0,122,0
2022-08-26,Юридична особа,ОДЕСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,повернення реєстру ,Укрдержфонд,1545500000,340000,0,122,0
2022-08-28,Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,повернення реєстру ,Укрдержфонд,1545500000,97000,90000.7,2,10
2022-08-28,ФОП,ПОЛТАВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,повернення реєстру ,Укрдержфонд,1545500000,1038787,58000,288,0
2022-08-28,Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,повернення реєстру ,Укрдержфонд,1545500000,139000,0,20,0
2022-08-28,Юридична особа,ОДЕСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 26.08 \ без групи \ до 1200] Бюджетна субсидія на одиницю оброблюваних угідь (1 га),Укрдержфонд,1545500000,45000,0,122,0
2022-08-28,Юридична особа,ОДЕСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,повернення реєстру ,Укрдержфонд,1545500000,3470000,78000,244,0
2022-08-29,Юридична особа,ОДЕСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 26.08 \ без групи \ до 1200] Бюджетна субсидія на одиницю оброблюваних угідь (1 га),Укрдержфонд,1545500000,56757,0,122,0
2022-08-29,Юридична особа,СУМСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[1-120 ha] [без групи] Бюджетна субсидія на одиницю оброблюваних угідь (1 га),Укрдержфонд,1545500000,123659,0,17,0
2022-08-30,Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 30.08] утримання корів 2-5000  / реєстр виплат ,Укрдержфонд,1545500000,67000,0,1,5
2022-08-30,Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 30.08] утримання корів 2-5000 / договір,Укрдержфонд,1545500000,230000,0,1,5
