registrationdate,catottg_region,region,legalform,area,animal,giftamount,cntuser
2024-04-05,,Не визначений,Фізична особа,37.0209,0,0,1
2024-04-01,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,ФОП,139.38529999999997,0,0,1
2024-03-29,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,Юридична особа,50.712666666666664,0,0,1
2024-03-29,,Не визначений,Фізична особа,12.425,0,0,1
2024-03-27,,Не визначений,Фізична особа,13.9635,10,0,1
2024-03-15,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,Фізична особа,0.0,0,0,1
2024-03-11,UA68000000000099709,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,Юридична особа,109.177,0,0,1
2024-03-11,UA74000000000025378,ЧЕРНІГІВСЬКА ОБЛАСТЬ,Юридична особа,63.048300000000005,0,0,1
2024-03-07,UA74000000000025378,ЧЕРНІГІВСЬКА ОБЛАСТЬ,Юридична особа,218.0163000000001,0,0,1
2024-03-05,UA68000000000099709,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,Юридична особа,27.1607,0,0,1
2024-03-05,,Не визначений,Юридична особа,0.0,0,0,1
2024-02-27,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,ФОП,67.429,0,0,1
2024-02-27,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,Юридична особа,69.8182,0,0,1
2024-02-20,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Юридична особа,0.0,0,0,1
2024-02-20,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,ФОП,111.04340000000002,0,0,1
2024-02-20,UA80000000000093317,М. КИЇВ,Юридична особа,0.0,0,0,7
2024-02-20,,Не визначений,Фізична особа,0.0,0,0,1
2024-02-15,UA73000000000044923,ЧЕРНІВЕЦЬКА ОБЛАСТЬ,ФОП,124.9758000000001,0,0,1
2024-02-13,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2024-02-12,UA80000000000093317,М. КИЇВ,Юридична особа,0.0,0,0,1
2024-02-09,UA80000000000093317,М. КИЇВ,Юридична особа,0.0,0,0,6
2024-02-08,UA80000000000093317,М. КИЇВ,Юридична особа,0.0,0,0,1
2024-01-23,UA26000000000069363,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,ФОП,0.0,5,0,1
2024-01-22,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,ФОП,46.0518,0,0,1
2024-01-22,UA18000000000041385,ЖИТОМИРСЬКА ОБЛАСТЬ,Юридична особа,73.2356,0,0,1
2024-01-19,UA26000000000069363,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,Фізична особа,0.0,7,0,1
2024-01-19,,Не визначений,Юридична особа,0.0,7,0,1
2024-01-17,UA80000000000093317,М. КИЇВ,Юридична особа,0.0,0,0,2
2024-01-09,,Не визначений,Юридична особа,0.0,0,0,1
2024-01-04,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,ФОП,117.22759999999998,0,0,1
2024-01-04,UA80000000000093317,М. КИЇВ,Юридична особа,0.0,0,0,1
2023-12-23,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,Фізична особа,0.0,0,0,1
2023-12-11,UA80000000000093317,М. КИЇВ,Юридична особа,0.0,0,0,2
2023-12-10,UA80000000000093317,М. КИЇВ,Юридична особа,0.0,0,0,1
2023-12-06,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Юридична особа,521.6308333333332,0,0,1
2023-12-06,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2023-12-06,,Не визначений,Фізична особа,0.0,0,0,1
2023-11-30,UA26000000000069363,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,Юридична особа,1.861,5,0,1
2023-11-30,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,Юридична особа,1.0916000000000001,232,0,1
2023-11-30,UA71000000000010357,ЧЕРКАСЬКА ОБЛАСТЬ,Фізична особа,0.0,0,0,1
2023-11-21,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,ФОП,0.7019,20,0,1
2023-11-21,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,Юридична особа,3677.747799999999,3,0,1
2023-11-21,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,Юридична особа,626.5999999999999,320,0,1
2023-11-21,,Не визначений,Фізична особа,17.7875,3,0,2
2023-11-19,,Не визначений,Фізична особа,0.0,0,0,1
2023-11-16,UA74000000000025378,ЧЕРНІГІВСЬКА ОБЛАСТЬ,Юридична особа,37.0884,0,0,1
2023-11-15,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,Юридична особа,1605.1909000000012,0,0,2
2023-11-14,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,ФОП,6.2889,0,0,1
2023-11-13,UA05000000000010236,ВІННИЦЬКА ОБЛАСТЬ,Юридична особа,1460.4275000000005,0,0,1
2023-11-13,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,Юридична особа,2584.7583000000004,0,0,2
2023-11-13,,Не визначений,Фізична особа,0.0,0,0,3
2023-11-12,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,Фізична особа,0.0,0,0,1
2023-11-12,UA65000000000030969,ХЕРСОНСЬКА ОБЛАСТЬ,Фізична особа,0.0,0,0,1
2023-11-12,,Не визначений,Фізична особа,0.0,0,0,1
2023-11-11,,Не визначений,Фізична особа,0.0,0,0,2
2023-11-09,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,ФОП,70.17039999999999,5,0,1
2023-11-09,UA56000000000066151,РІВНЕНСЬКА ОБЛАСТЬ,ФОП,0.7788,7,0,1
2023-11-09,UA74000000000025378,ЧЕРНІГІВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
