"LegalForm","Region","PropRight","Purpose","Area","Subject"
Фізична особа,ВІННИЦЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",39.045300000000005,14
Фізична особа,ВІННИЦЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",5.9611,5
Фізична особа,ВІННИЦЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.25,1
Фізична особа,ВІННИЦЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.01 Для ведення товарного сільськогосподарського виробництва",3.9330999999999996,2
Фізична особа,ВІННИЦЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",169.47870000000006,24
Фізична особа,ВОЛИНСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",9.4667,12
Фізична особа,ВОЛИНСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.25,1
Фізична особа,ВОЛИНСЬКА ОБЛАСТЬ,Власність,"16.00 Землі запасу (земельні ділянки кожної категорії земель, які не надані у власність або користування громадянам чи юридичним особам)",0.043,1
Фізична особа,ВОЛИНСЬКА ОБЛАСТЬ,Власність,Не визначений,0.4001,1
Фізична особа,ВОЛИНСЬКА ОБЛАСТЬ,Оренда,"01.08 Для сінокосіння і випасання худоби",20.0,2
Фізична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",24.9808,4
Фізична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Власність,"01.02 Для ведення фермерського господарства",6.5212,1
Фізична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",48.0749,25
Фізична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.25,1
Фізична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Власність,"02.05 Для будівництва індивідуальних гаражів",0.01,1
Фізична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Власність,Не визначений,5.6409,1
Фізична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",11.029,2
Фізична особа,ДОНЕЦЬКА ОБЛАСТЬ,Суборенда,"01.01 Для ведення товарного сільськогосподарського виробництва",0.9681,1
Фізична особа,ЖИТОМИРСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",4.0,2
Фізична особа,ЖИТОМИРСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.1177,1
Фізична особа,ЗАКАРПАТСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",0.0222,1
Фізична особа,ЗАКАРПАТСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.1347,1
Фізична особа,ЗАПОРІЗЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",3.4108,3
Фізична особа,ЗАПОРІЗЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.25,1
Фізична особа,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",2.0,1
Фізична особа,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,Оренда,"01.02 Для ведення фермерського господарства",13.3629,2
Фізична особа,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,Оренда,"16.00 Землі запасу (земельні ділянки кожної категорії земель, які не надані у власність або користування громадянам чи юридичним особам)",17.8606,1
Фізична особа,КИЇВСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",378.1036899999999,72
Фізична особа,КИЇВСЬКА ОБЛАСТЬ,Власність,"01.02 Для ведення фермерського господарства",4.94,1
Фізична особа,КИЇВСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",5.4471,5
Фізична особа,КИЇВСЬКА ОБЛАСТЬ,Власність,"01.05 Для індивідуального садівництва",0.2735,3
Фізична особа,КИЇВСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",1.0575999999999999,5
Фізична особа,КИЇВСЬКА ОБЛАСТЬ,Інше,"01.02 Для ведення фермерського господарства",12.0,1
Фізична особа,КИЇВСЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.01 Для ведення товарного сільськогосподарського виробництва",2.5553,1
Фізична особа,КИЇВСЬКА ОБЛАСТЬ,Оренда,"01.02 Для ведення фермерського господарства",147.0,6
Фізична особа,КИЇВСЬКА ОБЛАСТЬ,Оренда,"01.13 Для іншого сільськогосподарського призначення",0.7564,1
Фізична особа,КИЇВСЬКА ОБЛАСТЬ,Оренда,"03.07 Для будівництва та обслуговування будівель торгівлі",0.0319,1
Фізична особа,КИЇВСЬКА ОБЛАСТЬ,Оренда,"12.08 Для розміщення та експлуатації будівель і споруд додаткових транспортних послуг та допоміжних операцій",2.4105,1
Фізична особа,КІРОВОГРАДСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",185.77929999999995,52
Фізична особа,КІРОВОГРАДСЬКА ОБЛАСТЬ,Власність,"01.02 Для ведення фермерського господарства",40.5981,11
Фізична особа,КІРОВОГРАДСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",1.452,2
Фізична особа,КІРОВОГРАДСЬКА ОБЛАСТЬ,Власність,Не визначений,0.2,2
Фізична особа,КІРОВОГРАДСЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.01 Для ведення товарного сільськогосподарського виробництва",89.223,25
Фізична особа,КІРОВОГРАДСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",5.5504999999999995,2
Фізична особа,КІРОВОГРАДСЬКА ОБЛАСТЬ,Оренда,"01.02 Для ведення фермерського господарства",10.641,1
Фізична особа,КІРОВОГРАДСЬКА ОБЛАСТЬ,Оренда,"01.07 Для городництва",0.0745,1
Фізична особа,КІРОВОГРАДСЬКА ОБЛАСТЬ,Оренда,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.1,1
Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",299.16509999999994,64
Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",42.8604,32
Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",1.1304,7
Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Власність,"02.05 Для будівництва індивідуальних гаражів",0.007,2
Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Власність,"03.07 Для будівництва та обслуговування будівель торгівлі",0.1094,4
Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Власність,Не визначений,12.1156,6
Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Володіння,"01.01 Для ведення товарного сільськогосподарського виробництва",12.6656,1
Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",108.68700000000001,8
