City;year;lat;lon;Empleados;Empresas
AMBATO;2010;-1.2513026;-78.6306532;47;7
GUAYAQUIL;2010;-2.1682706;-79.8902722;6201;354
QUITO;2010;-0.1914377;-78.4838494;11635;545
AMBATO;2011;-1.2513026;-78.6306532;69;9
GUAYAQUIL;2011;-2.1682706;-79.8902722;7538;379
QUITO;2011;-0.1914377;-78.4838494;12482;578
AMBATO;2012;-1.2513026;-78.6306532;62;7
GUAYAQUIL;2012;-2.1682706;-79.8902722;6275;288
QUITO;2012;-0.1914377;-78.4838494;10326;435
AMBATO;2013;-1.2513026;-78.6306532;76;7
GUAYAQUIL;2013;-2.1682706;-79.8902722;7491;317
QUITO;2013;-0.1914377;-78.4838494;11179;513
AMBATO;2014;-1.2513026;-78.6306532;87;10
GUAYAQUIL;2014;-2.1682706;-79.8902722;7999;363
QUITO;2014;-0.1914377;-78.4838494;12779;608
AMBATO;2015;-1.2513026;-78.6306532;91;15
GUAYAQUIL;2015;-2.1682706;-79.8902722;8550;458
QUITO;2015;-0.1914377;-78.4838494;13570;756
AMBATO;2016;-1.2513026;-78.6306532;92;15
GUAYAQUIL;2016;-2.1682706;-79.8902722;8823;538
QUITO;2016;-0.1914377;-78.4838494;15084;889
AMBATO;2017;-1.2513026;-78.6306532;152;19
GUAYAQUIL;2017;-2.1682706;-79.8902722;10520;642
QUITO;2017;-0.1914377;-78.4838494;15289;1032
AMBATO;2018;-1.2513026;-78.6306532;163;23
GUAYAQUIL;2018;-2.1682706;-79.8902722;11043;708
QUITO;2018;-0.1914377;-78.4838494;18011;1153
AMBATO;2019;-1.2513026;-78.6306532;195;28
GUAYAQUIL;2019;-2.1682706;-79.8902722;11636;769
QUITO;2019;-0.1914377;-78.4838494;16259;1244

